"Product Id","Product Handle","Product Title","Product Subtitle","Product Description","Product Status","Product Thumbnail","Product Weight","Product Length","Product Width","Product Height","Product HS Code","Product Origin Country","Product MID Code","Product Material","Shipping Profile Id","Product Sales Channel 1","Product Collection Id","Product Type Id","Product Tag 1","Product Discountable","Product External Id","Variant Id","Variant Title","Variant SKU","Variant Barcode","Variant Allow Backorder","Variant Manage Inventory","Variant Weight","Variant Length","Variant Width","Variant Height","Variant HS Code","Variant Origin Country","Variant MID Code","Variant Material","Variant Price EUR","Variant Price USD","Variant Option 1 Name","Variant Option 1 Value","Product Image 1 Url","Product Image 2 Url"
"","gel-pen-pack","Retro Gel Pen Set","","Set of 5 vibrant gel pens, perfect for journaling.","published","https://picsum.photos/seed/gelpen/200/300","50","5","5","1","","","","","","","","","","TRUE","","","Multicolor","PEN-SET","","FALSE","TRUE","50","5","5","1","","","","","5.99","6.99","Color","Multicolor","https://picsum.photos/seed/gelpen/200/300",""
"","leather-notebook","Leather Journal Notebook","","Premium leather-bound notebook with 200 pages of acid-free paper.","published","https://picsum.photos/seed/leathernotebook/200/300","300","10","15","2","","","","","","","","","","TRUE","","","Black","NB-BLK","","FALSE","TRUE","300","10","15","2","","","","","12.50","14.50","Color","Black","https://picsum.photos/seed/leathernotebook/200/300",""
"","sticky-notes","Super Sticky Notes","","4x4 inch neon sticky notes, 100 sheets per pack.","published","https://picsum.photos/seed/stickynotes/200/300","100","4","4","0.5","","","","","","","","","","TRUE","","","Neon Pack","STICKY-NEO","","FALSE","TRUE","100","4","4","0.5","","","","","2.99","3.49","Color","Neon Pack","https://picsum.photos/seed/stickynotes/200/300",""
"","paper-clips","Colorful Paper Clips","","Assorted shapes and sizes, 500 pieces per box.","published","https://picsum.photos/seed/paperclips/200/300","200","3","3","1","","","","","","","","","","TRUE","","","Assorted","CLIP-ASST","","FALSE","TRUE","200","3","3","1","","","","","4.50","5.25","Size","Assorted","https://picsum.photos/seed/paperclips/200/300",""
"","desk-organizer","Desktop Organizer Rack","","Keep your desk tidy with this 3-slot organizer for files and folders.","published","https://picsum.photos/seed/deskorg/200/300","600","20","15","8","","","","","","","","","","TRUE","","","Black","ORG-BLK","","FALSE","TRUE","600","20","15","8","","","","","18.00","21.00","Color","Black","https://picsum.photos/seed/deskorg/200/300",""
"","whiteboard-markers","Whiteboard Markers","","Set of 4 dry-erase markers with a magnetic eraser.","published","https://picsum.photos/seed/markers/200/300","80","3","3","10","","","","","","","","","","TRUE","","","Set of 4","MARK-4","","FALSE","TRUE","80","3","3","10","","","","","6.99","8.15","Size","Set of 4","https://picsum.photos/seed/markers/200/300",""
"","ballpoint-pen","Premium Ballpoint Pen","","Sleek metal body ballpoint pen, refillable.","published","https://picsum.photos/seed/ballpen/200/300","50","2","2","10","","","","","","","","","","TRUE","","","Silver","BP-SLVR","","FALSE","TRUE","50","2","2","10","","","","","3.25","3.80","Color","Silver","https://picsum.photos/seed/ballpen/200/300",""
"","ballpoint-pen","Premium Ballpoint Pen","","Sleek metal body ballpoint pen, refillable.","published","https://picsum.photos/seed/ballpengold/200/300","50","2","2","10","","","","","","","","","","TRUE","","","Gold","BP-GOLD","","FALSE","TRUE","50","2","2","10","","","","","3.75","4.40","Color","Gold","https://picsum.photos/seed/ballpengold/200/300",""
"","mechanical-pencil","Pro Mechanical Pencil","","0.5mm lead mechanical pencil with a comfortable grip.","published","https://picsum.photos/seed/mpencil/200/300","40","2","2","10","","","","","","","","","","TRUE","","","0.5 mm","MP-05","","FALSE","TRUE","40","2","2","10","","","","","5.50","6.40","Lead","0.5 mm","https://picsum.photos/seed/mpencil/200/300",""
"","correction-tape","Quick Correction Tape","","Whisper-quiet correction tape, 4mm x 6m.","published","https://picsum.photos/seed/correction/200/300","30","2","1","5","","","","","","","","","","TRUE","","","White","CT-WHT","","FALSE","TRUE","30","2","1","5","","","","","1.99","2.30","Color","White","https://picsum.photos/seed/correction/200/300",""
"","desk-lamp","LED Desk Lamp","","Flexible neck LED lamp with 3 brightness levels.","published","https://picsum.photos/seed/desklamp/200/300","800","10","10","30","","","","","","","","","","TRUE","","","White","LAMP-WHT","","FALSE","TRUE","800","10","10","30","","","","","28.00","32.50","Color","White","https://picsum.photos/seed/desklamp/200/300",""
"","clipboard","Metal Clipboard","","A4 size clip-board with a low-profile clip.","published","https://picsum.photos/seed/clipboard/200/300","250","9","12","1","","","","","","","","","","TRUE","","","Silver","CLIP-SLV","","FALSE","TRUE","250","9","12","1","","","","","6.50","7.60","Color","Silver","https://picsum.photos/seed/clipboard/200/300",""
"","stapler","Heavy Duty Stapler","","Staples up to 25 sheets of paper.","published","https://picsum.photos/seed/stapler/200/300","400","5","6","3","","","","","","","","","","TRUE","","","Black","STAP-BLK","","FALSE","TRUE","400","5","6","3","","","","","11.25","13.10","Color","Black","https://picsum.photos/seed/stapler/200/300",""
"","scissors","Titanium Scissors","","Set of 2 sharp scissors (8"" and 5"").","published","https://picsum.photos/seed/scissors/200/300","250","1","6","20","","","","","","","","","","TRUE","","","Set of 2","SCIS-SET","","FALSE","TRUE","250","1","6","20","","","","","9.50","11.00","Size","Set of 2","https://picsum.photos/seed/scissors/200/300",""
"","tape-dispenser","Desktop Tape Dispenser","","Heavy-weight tape dispenser with a non-slip base.","published","https://picsum.photos/seed/tapedispenser/200/300","400","5","8","3","","","","","","","","","","TRUE","","","Black","TAPE-BLK","","FALSE","TRUE","400","5","8","3","","","","","7.20","8.40","Color","Black","https://picsum.photos/seed/tapedispenser/200/300",""
"","eraser","Art Eraser Set","","Soft, latex-free erasers for pencil and charcoal.","published","https://picsum.photos/seed/eraser/200/300","25","2","1","1","","","","","","","","","","TRUE","","","Set of 2","ERAS-ART","","FALSE","TRUE","25","2","1","1","","","","","2.25","2.60","Size","Set of 2","https://picsum.photos/seed/eraser/200/300",""
"","sharpener","Electric Pencil Sharpener","","Battery-operated sharpener with auto-stop for safe sharpening.","published","https://picsum.photos/seed/sharpener/200/300","300","4","4","5","","","","","","","","","","TRUE","","","Blue","SHARP-ELE","","FALSE","TRUE","300","4","4","5","","","","","15.00","17.40","Color","Blue","https://picsum.photos/seed/sharpener/200/300",""
"","envelope","Self-Seal Envelopes","","Pack of 20 self-seal envelopes (A4 size).","published","https://picsum.photos/seed/envelope/200/300","100","10","15","0.5","","","","","","","","","","TRUE","","","A4 Pack","ENV-PACK","","FALSE","TRUE","100","10","15","0.5","","","","","4.00","4.65","Size","A4 Pack","https://picsum.photos/seed/envelope/200/300",""
"","shipping-label","Shipping Label Printer","","Thermal printer for 4x6 shipping labels.","published","https://picsum.photos/seed/printer/200/300","1500","10","15","20","","","","","","","","","","TRUE","","","Black","PRINTER-LBL","","FALSE","TRUE","1500","10","15","20","","","","","99.00","115.00","Color","Black","https://picsum.photos/seed/printer/200/300",""
